,ACTUAL_AMT,ACTUAL_%REV,BUDGET_AMT,BUDGET_%REV,VARIANCE_AMT,VARIANCE_%REV
BOATHOUSE MANAGER,0,0.0,"3,507",5.5,"-3,507",-5.5
BOATHOUSE TOTAL Boathouse MANAGEMENT,"-1,360",-5.4,"3,507",5.5,"-4,866",-10.9
BOATHOUSE COOKS,0,0.0,"1,740",2.7,"-1,740",-2.7
BOATHOUSE TOTAL Boathouse KITCHEN NON-MANAGEMENT,0,0.0,"1,740",2.7,"-1,740",-2.7
BOATHOUSE SERVERS,0,0.0,734,1.2,-734,-1.2
BOATHOUSE BARTENDERS,-367,-1.5,"1,980",3.1,"-2,347",-4.6
BOATHOUSE BARBACKS,-237,-0.9,"1,000",1.6,"-1,237",-2.5
BOATHOUSE TOTAL Boathouse NON-MANAGEMENT,-604,-2.4,"5,454",8.6,"-6,058",-11.0
BOATHOUSE SUBTOTAL: Boathouse SALARIES & WAGES,"-1,964",-7.8,"8,961",14.1,"-10,925",-21.9
"BOATHOUSE TOTAL Boathouse  SALARIES, WAGES, SC, CONTRACT & B","-1,964",-7.8,"8,961",14.1,"-10,925",-21.9
BOATHOUSE PAYROLL TAXES,0,0.0,672,1.1,-672,-1.1
BOATHOUSE TOTAL VENUE 7 TAXES,0,0.0,672,1.1,-672,-1.1
BOATHOUSE SUPPLEMENTAL PAY,0,0.0,0,0.0,0,0.0
BOATHOUSE PTO PAY,-856,-3.4,163,0.3,"-1,019",-3.6
BOATHOUSE TOTAL Boathouse SUPPLEMENTAL PAY,-856,-3.4,163,0.3,"-1,019",-3.6
BOATHOUSE WORKERS COMP,117,0.5,206,0.3,-89,0.1
BOATHOUSE HEALTH INSURANCE,-7,0.0,832,1.3,-838,-1.3
BOATHOUSE 401K,0,0.0,0,0.0,0,0.0
BOATHOUSE EMPLOYEE MEALS,0,0.0,184,0.3,-184,-0.3
BOATHOUSE EMPLOYEE BENEFITS,0,0.0,2,0.0,-2,0.0
BOATHOUSE TOTAL Boathouse BENEFITS,111,0.4,"1,224",1.9,"-1,113",-1.5
BOATHOUSE TOTAL Boathouse LABOR & RELATED,"-2,709",-10.7,"11,020",17.3,"-13,729",-28.0
BOATHOUSE DUES & SUBSCRIPTIONS,0,0.0,427,0.7,-427,-0.7
BOATHOUSE TOTAL Boathouse EXPENSE,"-2,709",-10.7,"23,752",37.3,"-26,462",-48.1
BOATHOUSE TOTAL Boathouse PROFIT,"27,966",110.7,"39,877",62.7,"-11,911",48.1
WSC BREAKFAST,0,0.0,"5,086",78.6,"-5,086",-78.6
WSC LUNCH,0,0.0,0,0.0,0,0.0
WSC DINNER,"2,474",75.0,0,0.0,"2,474",75.0
WSC TOTAL Waterside Cove FOOD,"2,474",75.0,"5,086",78.6,"-2,612",-3.5
WSC LIQUOR,21,0.6,119,1.8,-99,-1.2
WSC BEER,13,0.4,68,1.1,-55,-0.7
WSC WINE,173,5.2,6,0.1,167,5.2
WSC TOTAL Waterside Cove BEVERAGE,207,6.3,193,3.0,14,3.3
WSC SERVICE CHARGES,617,18.7,"1,196",18.5,-579,0.2
WSC TOTAL Waterside Cove OTHER,617,18.7,"1,196",18.5,-579,0.2
WSC TOTAL Waterside Cove REVENUE,"3,297",100.0,"6,475",100.0,"-3,177",0.0
WSC FOOD,0,0.0,"1,526",30.0,"-1,526",-30.0
WSC LIQUOR,0,0.0,19,16.0,-19,-16.0
WSC BEER,0,0.0,13,19.0,-13,-19.0
WSC WINE,0,0.0,1,25.0,-1,-25.0
WSC TOTAL VENUE 8 COST OF SALES,0,0.0,"1,559",24.1,"-1,559",-24.1
WSC TOTAL VENUE 8 GROSS PROFIT,"3,297",100.0,"4,916",75.9,"-1,618",24.1
WSC CASHIERS,0,0.0,0,0.0,0,0.0
WSC BARTENDERS,0,0.0,178,2.7,-178,-2.7
WSC TOTAL VENUE 8 VENUE NON-MANAGEMENT,0,0.0,178,2.7,-178,-2.7
WSC TOTAL VENUE 8 NON-MANAGEMENT,0,0.0,178,2.7,-178,-2.7
WSC SUBTOTAL: VENUE 8 SALARIES & WAGES,0,0.0,178,2.7,-178,-2.7
WSC CONTRACTED/LEASED & OUTSOURCED LABOR,0,0.0,0,0.0,0,0.0
WSC TOTAL VENUE 8 CONTRACT LABOR,0,0.0,0,0.0,0,0.0
"WSC TOTAL VENUE 8 SALARIES, WAGES, SC, CONTRACT & BONUS",0,0.0,178,2.7,-178,-2.7
WSC PAYROLL TAXES,0,0.0,13,0.2,-13,-0.2
WSC TOTAL VENUE 8 TAXES,0,0.0,13,0.2,-13,-0.2
WSC WORKERS COMP,0,0.0,0,0.0,0,0.0
WSC HEALTH INSURANCE,0,0.0,800,12.4,-800,-12.4
WSC EMPLOYEE MEALS,0,0.0,0,0.0,0,0.0
WSC EMPLOYEE BENEFITS,0,0.0,0,0.0,0,0.0
WSC TOTAL VENUE 8 BENEFITS,0,0.0,800,12.4,-800,-12.4
WSC TOTAL VENUE 8 PAYROLL RELATED,0,0.0,814,12.6,-814,-12.6
WSC TOTAL VENUE 8 LABOR & RELATED,0,0.0,991,15.3,-991,-15.3
WSC TOTAL VENUE 8 EXPENSE,0,0.0,"2,550",39.4,"-2,550",-39.4
WSC TOTAL VENUE 8 PROFIT,"3,297",100.0,"3,925",60.6,-627,39.4
,,,,,,
BC BREAKFAST,"-10,071",-1.8,"31,241",6.9,"-41,311",-8.7
BC LUNCH,"115,350",21.1,"48,230",10.6,"67,120",10.5
BC DINNER,"153,063",28.0,"93,117",20.4,"59,946",7.6
BC BREAKS A.M.,"3,807",0.7,"21,928",4.8,"-18,121",-4.1
BC TOTAL BANQUETS FOOD,"262,149",47.9,"194,515",42.7,"67,634",5.3
BC BREAKFAST - CATERING,"4,300",0.8,"1,208",0.3,"3,092",0.5
BC LUNCH - CATERING,"1,181",0.2,"6,669",1.5,"-5,488",-1.2
BC DINNER - CATERING,"23,270",4.3,"28,413",6.2,"-5,143",-2.0
BC CATERING-COFFEE BREAK,0,0.0,263,0.1,-263,-0.1
BC BREAKS A.M. - CATERING,0,0.0,0,0.0,0,0.0
BC RECEPTIONS - CATERING,0,0.0,759,0.2,-759,-0.2
BC TOTAL CATERING FOOD,"28,751",5.3,"37,312",8.2,"-8,561",-2.9
BC LIQUOR,"34,743",6.4,"17,092",3.8,"17,651",2.6
BC BEER,"14,441",2.6,"6,769",1.5,"7,672",1.2
BC WINE,"6,267",1.1,"4,240",0.9,"2,028",0.2
BC TOTAL BANQUETS BEVERAGE,"55,451",10.1,"28,100",6.2,"27,351",4.0
BC LIQUOR - CATERING,"6,472",1.2,"10,525",2.3,"-4,053",-1.1
BC BEER - CATERING,"2,815",0.5,"2,278",0.5,537,0.0
BC WINE - CATERING,"1,846",0.3,"1,727",0.4,119,0.0
BC TOTAL CATERING BEVERAGE,"11,133",2.0,"14,530",3.2,"-3,397",-1.2
BC MEETING ROOM RENTALS,"6,743",1.2,"44,380",9.7,"-37,636",-8.5
BC SERVICE CHARGES,"98,368",18.0,"82,282",18.1,"16,086",-0.1
BC AV RENTAL/TECHNOLOGY,"60,692",11.1,"45,396",10.0,"15,295",1.1
BC MISC BANQUET INCOME,"23,562",4.3,"9,229",2.0,"14,332",2.3
BC TOTAL BANQUETS & CATERING OTHER,"189,364",34.6,"181,287",39.8,"8,077",-5.1
BC TOTAL BANQUETS & CATERING REVENUE,"546,848",100.0,"455,744",100.0,"91,104",0.0
BC FOOD,0,0.0,"67,230",29.0,"-67,230",-29.0
BC LIQUOR,0,0.0,"4,142",15.0,"-4,142",-15.0
BC BEER,0,0.0,"1,538",17.0,"-1,538",-17.0
BC WINE,0,0.0,"1,372",23.0,"-1,372",-23.0
BC AV RENTAL/TECHNOLOGY,0,0.0,"27,583",60.8,"-27,583",-60.8
BC TOTAL BANQUETS & CATERING COST OF SALES,0,0.0,"101,865",22.4,"-101,865",-22.4
BC TOTAL BANQUETS & CATERING GROSS PROFIT,"546,848",100.0,"353,879",77.6,"192,969",22.4
BC MANAGER,0,0.0,"5,481",1.2,"-5,481",-1.2
BC TOTAL BANQUETS & CATERING SERVICE MANAGEMENT,0,0.0,"5,481",1.2,"-5,481",-1.2
BC SOUS CHEF,0,0.0,"4,750",1.0,"-4,750",-1.0
BC COOKS,-438,-0.1,0,0.0,-438,-0.1
BC TOTAL BANQUETS & CATERING KITCHEN NON-MANAGEMENT,-438,-0.1,"4,750",1.0,"-5,188",-1.1
BC BANQUET SETUP/BREAKDOWN,"-1,365",-0.2,"4,428",1.0,"-5,793",-1.2
BC SERVERS,"5,329",1.0,"13,709",3.0,"-8,380",-2.0
BC BANQUET SERVER O/T,"1,863",0.3,0,0.0,"1,863",0.3
BC CAPTAINS,"6,604",1.2,"9,781",2.1,"-3,177",-0.9
BC BARTENDERS,"1,531",0.3,"2,429",0.5,-898,-0.3
BC BARBACKS,-54,0.0,0,0.0,-54,0.0
BC SUPERVISOR,0,0.0,"2,432",0.5,"-2,432",-0.5
BC TOTAL BANQUETS & CATERING NON-MANAGEMENT,"13,471",2.5,"37,529",8.2,"-24,058",-5.8
BC SUBTOTAL: BANQUETS & CATERING SALARIES & WAGES,"13,471",2.5,"43,010",9.4,"-29,539",-7.0
BC SERVICE CHARGES DISTRIBUTED,"-17,559",-3.2,"41,915",9.2,"-59,473",-12.4
BC TOTAL BANQUETS & CATERING SERVICE CHARGE,"-17,559",-3.2,"41,915",9.2,"-59,473",-12.4
BC CONTRACTED/LEASED & OUTSOURCED LABOR,-963,-0.2,"12,240",2.7,"-13,203",-2.9
BC TOTAL BANQUETS & CATERING CONTRACT LABOR,-963,-0.2,"12,240",2.7,"-13,203",-2.9
"BC TOTAL BANQUETS & CATERING SALARIES, WAGES, SC, CONTRACT & BONUS","-5,051",-0.9,"97,165",21.3,"-102,215",-22.2
BC PAYROLL TAXES,0,0.0,"7,287",1.6,"-7,287",-1.6
BC TOTAL BANQUETS & CATERING TAXES,0,0.0,"7,287",1.6,"-7,287",-1.6
BC SUPPLEMENTAL PAY,0,0.0,49,0.0,-49,0.0
BC PTO EXPENSE,"-6,538",-1.2,"1,525",0.3,"-8,063",-1.5
BC TOTAL BANQUETS & CATERING SUPPLEMENTAL PAY,"-6,538",-1.2,"1,574",0.3,"-8,112",-1.5
BC WORKERS COMP,"1,700",0.3,874,0.2,826,0.1
BC HEALTH INSURANCE,-143,0.0,"8,997",2.0,"-9,140",-2.0
BC 401K,0,0.0,97,0.0,-97,0.0
BC EMPLOYEE MEALS,0,0.0,"1,006",0.2,"-1,006",-0.2
BC EMPLOYEE BENEFITS,0,0.0,9,0.0,-9,0.0
BC TOTAL BANQUETS & CATERING BENEFITS,"1,558",0.3,"10,984",2.4,"-9,427",-2.1
BC TOTAL BANQUETS & CATERING PAYROLL RELATED,"-4,980",-0.9,"19,846",4.4,"-24,826",-5.3
BC TOTAL BANQUETS & CATERING LABOR & RELATED,"-10,031",-1.8,"117,011",25.7,"-127,041",-27.5
BC DECORATIONS,-317,-0.1,0,0.0,-317,-0.1
BC OPERATING SUPPLIES,90,0.0,0,0.0,90,0.0
BC TOTAL BANQUETS & CATERING OTHER EXPENSES,-227,0.0,0,0.0,-227,0.0
BC TOTAL BANQUETS & CATERING EXPENSE,"-10,257",-1.9,"218,876",48.0,"-229,133",-49.9
BC TOTAL BANQUETS & CATERING PROFIT,"557,105",101.9,"236,868",52.0,"320,237",49.9
