Description,ACTUAL_AMT,ACTUAL_%REV,FC_AMT,FC_%REV,FC_VARIANCE_AMT,FC_VARIANCE%REV,LY_AMT,LY_%REV,LY_VARIANCE_AMT,LY_VARIANCE_%REV
TOTAL F&B KITCHEN MANAGEMENT,14168.00,2.70,28211.00,5.50,-14044.00,-2.90,6221.00,1.00,7946.00,1.60
MANAGER,21989.00,4.10,26033.00,5.10,-4045.00,-1.00,22546.00,3.80,-558.00,0.30
ASSIST MANAGER,5637.00,1.10,8844.00,1.70,-3206.00,-0.70,3415.00,0.60,2222.00,0.50
RESTAURANT MANAGER NE,5676.00,1.10,6160.00,1.20,-484.00,-0.10,8408.00,1.40,-2731.00,-0.30
F&B DIRECTOR,8901.00,1.70,8845.00,1.70,56.00,-0.10,9632.00,1.60,-731.00,0.10
TOTAL F&B SERVICE MANAGEMENT,42204.00,7.90,49882.00,9.80,-7679.00,-1.80,44001.00,7.40,-1798.00,0.50
TOTAL F&B MANAGEMENT,56371.00,10.60,78094.00,15.30,-21723.00,-4.70,50223.00,8.50,6148.00,2.20
COOK,61312.00,11.50,33916.00,6.60,27397.00,4.90,32203.00,5.40,29109.00,6.10
STEWARD,8218.00,1.50,13493.00,2.60,-5275.00,-1.10,3876.00,0.70,4342.00,0.90
KITCHEN SUPERVISOR,2080.00,0.40,11319.00,2.20,-9239.00,-1.80,10178.00,1.70,-8098.00,-1.30
CHIEF STEWARD,4683.00,0.90,4886.00,1.00,-203.00,-0.10,0.00,0.00,4683.00,0.90
TOTAL F&B KITCHEN NON-MANAGEMENT,76294.00,14.40,63614.00,12.50,12680.00,1.90,46258.00,7.80,30036.00,6.60
SERVERS,13967.00,2.60,10733.00,2.10,3234.00,0.50,11649.00,2.00,2318.00,0.70
BUSSERS,5134.00,1.00,4809.00,0.90,324.00,0.00,3858.00,0.60,1276.00,0.30
RUNNER,0.00,0.00,3016.00,0.60,-3016.00,-0.60,0.00,0.00,0.00,0.00
CASHIER,12906.00,2.40,5170.00,1.00,7736.00,1.40,4586.00,0.80,8320.00,1.70
BARTENDERS,11136.00,2.10,11132.00,2.20,4.00,-0.10,9868.00,1.70,1268.00,0.40
BARBACKS,2239.00,0.40,4860.00,1.00,-2621.00,-0.50,2949.00,0.50,-710.00,-0.10
HOSTS,5164.00,1.00,8187.00,1.60,-3023.00,-0.60,3608.00,0.60,1556.00,0.40
SUPERVISOR,5166.00,1.00,13409.00,2.60,-8243.00,-1.70,10159.00,1.70,-4993.00,-0.70
BANQUET SETUP/BREAKDOWN,5119.00,1.00,2092.00,0.40,3028.00,0.60,3526.00,0.60,1593.00,0.40
ADMINISTRATIVE SUPPORT,3342.00,0.60,2726.00,0.50,616.00,0.10,3015.00,0.50,327.00,0.10
TOTAL F&B VENUE NON-MANAGEMENT,64172.00,12.10,66133.00,13.00,-1961.00,-0.90,53218.00,9.00,10954.00,3.10
TOTAL F&B NON-MANAGEMENT,140466.00,26.40,129748.00,25.40,10719.00,1.00,99476.00,16.70,40991.00,9.70
SUBTOTAL: F&B SALARIES & WAGES,196837.00,37.00,207841.00,40.70,-11004.00,-3.70,149698.00,25.20,47139.00,11.80
SERVICE CHARGES DISTRIBUTED,39563.00,7.40,28301.00,5.50,11261.00,1.90,37490.00,6.30,2072.00,1.10
TOTAL F&B SERVICE CHARGE,39563.00,7.40,28301.00,5.50,11261.00,1.90,37490.00,6.30,2072.00,1.10
BONUS/INCENTIVES - BANQUETS AND CATERING,2304.00,0.40,1688.00,0.30,616.00,0.10,1481.00,0.20,823.00,0.20
TOTAL F&B BONUS,2304.00,0.40,1688.00,0.30,616.00,0.10,1481.00,0.20,823.00,0.20
CONTRACTED/LEASED & OUTSOURCED LABOR,23477.00,4.40,32335.00,6.30,-8858.00,-1.90,92485.00,15.60,-69008.00,-11.10
TOTAL F&B CONTRACT LABOR,23477.00,4.40,32335.00,6.30,-8858.00,-1.90,92485.00,15.60,-69008.00,-11.10
"TOTAL F&B SALARIES, WAGES, SC, CONTRACT & BONUS",262181.00,49.30,270166.00,52.90,-7985.00,-3.60,281155.00,47.30,-18973.00,2.00
PAYROLL TAXES,17786.00,3.30,20262.00,4.00,-2477.00,-0.60,14091.00,2.40,3695.00,1.00
TOTAL F&B TAXES,17786.00,3.30,20262.00,4.00,-2477.00,-0.60,14091.00,2.40,3695.00,1.00
SUPPLEMENTAL PAY,14521.00,2.70,8682.00,1.70,5839.00,1.00,8525.00,1.40,5997.00,1.30
PTO PAY,9057.00,1.70,5676.00,1.10,3381.00,0.60,6527.00,1.10,2530.00,0.60
TOTAL F&B SUPPLEMENTAL PAY,23578.00,4.40,14358.00,2.80,9221.00,1.60,15051.00,2.50,8527.00,1.90
WORKERS COMP,9070.00,1.70,3878.00,0.80,5192.00,0.90,6099.00,1.00,2971.00,0.70
HEALTH INSURANCE,-11427.00,-2.10,22966.00,4.50,-34393.00,-6.70,23519.00,4.00,-34946.00,-6.10
401K,739.00,0.10,648.00,0.10,91.00,0.00,465.00,0.10,275.00,0.10
EMPLOYEE BENEFITS,241.00,0.00,112.00,0.00,130.00,0.00,82.00,0.00,159.00,0.00
EMPLOYEE MEALS,4268.00,0.80,3873.00,0.80,395.00,0.00,2056.00,0.30,2212.00,0.50
TOTAL F&B BENEFITS,2892.00,0.50,31477.00,6.20,-28585.00,-5.60,32220.00,5.40,-29329.00,-4.90
TOTAL F&B PAYROLL RELATED,44256.00,8.30,66097.00,13.00,-21841.00,-4.60,61363.00,10.30,-17107.00,-2.00
TOTAL F&B LABOR & RELATED,306437.00,57.70,336263.00,65.90,-29826.00,-8.20,342517.00,57.70,-36080.00,0.00
COMP SERVICES & GIFTS,1144.00,0.20,2000.00,0.40,-856.00,-0.20,2673.00,0.40,-1529.00,-0.20
CLEANING SUPPLIES,833.00,0.20,880.00,0.20,-47.00,0.00,24.00,0.00,809.00,0.20
CONTRACT SERVICES,11556.00,2.20,10250.00,2.00,1306.00,0.20,8843.00,1.50,2713.00,0.70
DECORATIONS,739.00,0.10,0.00,0.00,739.00,0.10,0.00,0.00,739.00,0.10
DISHWASHING SUPPLIES,438.00,0.10,1466.00,0.30,-1028.00,-0.20,0.00,0.00,438.00,0.10
DUES & SUBSCRIPTIONS,1613.00,0.30,1176.00,0.20,437.00,0.10,1176.00,0.20,437.00,0.10
EMP TRAIN & DEVELOP,0.00,0.00,175.00,0.00,-175.00,0.00,0.00,0.00,0.00,0.00
EQUIPMENT RENTAL,2674.00,0.50,4655.00,0.90,-1981.00,-0.40,4655.00,0.80,-1981.00,-0.30
KITCHEN FUEL,763.00,0.10,742.00,0.10,21.00,0.00,311.00,0.10,452.00,0.10
LAUNDRY & DRY CLEANING,3346.00,0.60,2496.00,0.50,850.00,0.10,0.00,0.00,3346.00,0.60
LICENSES & PERMITS,320.00,0.10,483.00,0.10,-163.00,0.00,483.00,0.10,-163.00,0.00
MISCELLANEOUS,1878.00,0.40,750.00,0.10,1128.00,0.20,691.00,0.10,1188.00,0.20
MUSIC & ENTERTAINMENT,11125.00,2.10,7000.00,1.40,4125.00,0.70,20407.00,3.40,-9282.00,-1.30
OPERATING SUPPLIES,2246.00,0.40,990.00,0.20,1256.00,0.20,1003.00,0.20,1242.00,0.30
PAPER SUPPLIES,6424.00,1.20,5131.00,1.00,1293.00,0.20,5656.00,1.00,768.00,0.30
T&E - OTHER,0.00,0.00,0.00,0.00,0.00,0.00,777.00,0.10,-777.00,-0.10
UNIFORM CLEANING,0.00,0.00,0.00,0.00,0.00,0.00,179.00,0.00,-179.00,0.00
DEPARTMENTAL ALLOCATION,0.00,0.00,0.00,0.00,0.00,0.00,2462.00,0.40,-2462.00,-0.40
TOTAL F&B OTHER EXPENSES,45099.00,8.50,38194.00,7.50,6905.00,1.00,49340.00,8.30,-4241.00,0.20
TOTAL F&B EXPENSE,486803.00,91.60,485878.00,95.20,925.00,-3.60,524376.00,88.30,-37573.00,3.30
TOTAL F&B PROFIT,44665.00,8.40,24377.00,4.80,20288.00,3.60,69728.00,11.70,-25062.00,-3.30
EXECUTIVE CHEF,7582.00,1.40,7535.00,1.50,47.00,-0.10,0.00,0.00,7582.00,1.40
EXECUTIVE SOUS CHEF,6585.00,1.20,6553.00,1.30,32.00,0.00,0.00,0.00,6585.00,1.20
TOTAL FOOD & BEVERAGE ADMIN KITCHEN MANAGEMENT,14168.00,2.70,14088.00,2.80,79.00,-0.10,0.00,0.00,14168.00,2.70
F&B DIRECTOR,8901.00,1.70,8845.00,1.70,56.00,-0.10,9632.00,1.60,-731.00,0.10
DIRECTOR OF RESTAURANTS,5931.00,1.10,5570.00,1.10,361.00,0.00,5895.00,1.00,36.00,0.10
ADMINISTRATIVE SUPPORT,3342.00,0.60,2726.00,0.50,616.00,0.10,3015.00,0.50,327.00,0.10
TOTAL FOOD & BEVERAGE ADMIN SERVICE MANAGEMENT,18174.00,3.40,17141.00,3.40,1033.00,0.10,18542.00,3.10,-368.00,0.30
TOTAL FOOD & BEVERAGE ADMIN MANAGEMENT,32342.00,6.10,31229.00,6.10,1112.00,0.00,18542.00,3.10,13800.00,3.00
CHIEF STEWARD,4683.00,0.90,4886.00,1.00,-203.00,-0.10,0.00,0.00,4683.00,0.90
KITCHEN-COOK,36115.00,6.80,10878.00,2.10,25236.00,4.70,8794.00,1.50,27320.00,5.30
KITCHEN-STEWARD,1146.00,0.20,2326.00,0.50,-1180.00,-0.20,1558.00,0.30,-412.00,0.00
KITCHEN SUPERVISOR,0.00,0.00,3027.00,0.60,-3027.00,-0.60,5568.00,0.90,-5568.00,-0.90
SUPERVISOR,0.00,0.00,0.00,0.00,0.00,0.00,1017.00,0.20,-1017.00,-0.20
TOTAL FOOD & BEVERAGE ADMIN KITCHEN NON-MANAGEMENT,41944.00,7.90,21117.00,4.10,20827.00,3.80,16938.00,2.90,25006.00,5.00
SOUS CHEF,0.00,0.00,3058.00,0.60,-3058.00,-0.60,3058.00,0.50,-3058.00,-0.50
TOTAL FOOD & BEVERAGE ADMIN VENUES NON-MANAGEMENT,0.00,0.00,3058.00,0.60,-3058.00,-0.60,3058.00,0.50,-3058.00,-0.50
TOTAL FOOD & BEVERAGE ADMIN NON-MANAGEMENT,41944.00,7.90,24175.00,4.70,17769.00,3.20,19995.00,3.40,21949.00,4.50
SUBTOTAL: FOOD & BEVERAGE ADMIN SALARIES & WAGES,74286.00,14.00,55404.00,10.90,18881.00,3.10,38537.00,6.50,35748.00,7.50
SERVICE CHARGES DISTRIBUTED,120.00,0.00,1207.00,0.20,-1087.00,-0.20,1207.00,0.20,-1087.00,-0.20
TOTAL FOOD & BEVERAGE ADMIN SERVICE CHARGES,120.00,0.00,1207.00,0.20,-1087.00,-0.20,1207.00,0.20,-1087.00,-0.20
BONUS/INCENTIVES - FOOD AND BEVERAGE ADMIN,2304.00,0.40,1688.00,0.30,616.00,0.10,1481.00,0.20,823.00,0.20
TOTAL FOOD & BEVERAGE ADMIN BONUS,2304.00,0.40,1688.00,0.30,616.00,0.10,1481.00,0.20,823.00,0.20
CONTRACTED/LEASED & OUTSOURCED LABOR,15302.00,2.90,18216.00,3.60,-2914.00,-0.70,84867.00,14.30,-69565.00,-11.40
TOTAL FOOD & BEVERAGE CONTRACT LABOR,15302.00,2.90,18216.00,3.60,-2914.00,-0.70,84867.00,14.30,-69565.00,-11.40
"TOTAL FOOD & BEVERAGE ADMIN SALARIES, WAGES, SC, CONTRACT & BONUS",92013.00,17.30,76516.00,15.00,15497.00,2.30,126093.00,21.20,-34080.00,-3.90
PAYROLL TAXES,4155.00,0.80,5739.00,1.10,-1583.00,-0.30,2836.00,0.50,1319.00,0.30
TOTAL FOOD & BEVERAGE ADMIN PAYROLL TAXES,4155.00,0.80,5739.00,1.10,-1583.00,-0.30,2836.00,0.50,1319.00,0.30
SUPPLEMENTAL PAY,4568.00,0.90,1875.00,0.40,2694.00,0.50,2614.00,0.40,1954.00,0.40
PTO PAY,2761.00,0.50,1507.00,0.30,1254.00,0.20,2039.00,0.30,722.00,0.20
TOTAL FOOD & BEVERAGE ADMIN SUPPLEMENTAL PAY,7329.00,1.40,3382.00,0.70,3947.00,0.70,4654.00,0.80,2676.00,0.60
WORKERS COMP,1114.00,0.20,582.00,0.10,532.00,0.10,1101.00,0.20,13.00,0.00
HEALTH INSURANCE,-1217.00,-0.20,3688.00,0.70,-4905.00,-1.00,6116.00,1.00,-7333.00,-1.30
401K,475.00,0.10,352.00,0.10,123.00,0.00,273.00,0.00,202.00,0.00
EMPLOYEE MEALS,1096.00,0.20,686.00,0.10,410.00,0.10,24.00,0.00,1072.00,0.20
EMPLOYEE BENEFITS,51.00,0.00,36.00,0.00,15.00,0.00,20.00,0.00,31.00,0.00
TOTAL FOOD & BEVERAGE ADMIN BENEFITS,1519.00,0.30,5343.00,1.00,-3825.00,-0.80,7535.00,1.30,-6016.00,-1.00
TOTAL FOOD & BEVERAGE ADMIN TAXES & BENEFITS,13003.00,2.40,14464.00,2.80,-1460.00,-0.40,15025.00,2.50,-2021.00,-0.10
"TOTAL FOOD & BEVERAGE ADMIN PAYROLL, TAXES & BENEFITS",105016.00,19.80,90980.00,17.80,14036.00,1.90,141117.00,23.80,-36101.00,-4.00
CLEANING SUPPLIES,833.00,0.20,880.00,0.20,-47.00,0.00,24.00,0.00,809.00,0.20
COMP FOOD & BEVERAGE,1144.00,0.20,2000.00,0.40,-856.00,-0.20,2673.00,0.40,-1529.00,-0.20
CONTRACT SERVICES,11556.00,2.20,10250.00,2.00,1306.00,0.20,8843.00,1.50,2713.00,0.70
DECORATIONS,272.00,0.10,0.00,0.00,272.00,0.10,0.00,0.00,272.00,0.10
DISHWASHING SUPPLIES,438.00,0.10,1466.00,0.30,-1028.00,-0.20,0.00,0.00,438.00,0.10
DUES & SUBSCRIPTIONS,1347.00,0.30,483.00,0.10,864.00,0.20,483.00,0.10,864.00,0.20
EMP TRAIN & DEVELOP,0.00,0.00,175.00,0.00,-175.00,0.00,0.00,0.00,0.00,0.00
EQUIPMENT RENTAL,2674.00,0.50,4655.00,0.90,-1981.00,-0.40,4655.00,0.80,-1981.00,-0.30
KITCHEN FUEL,763.00,0.10,742.00,0.10,21.00,0.00,311.00,0.10,452.00,0.10
LAUNDRY & DRY CLEANING,3346.00,0.60,2496.00,0.50,850.00,0.10,0.00,0.00,3346.00,0.60
LAUNDRY ALLOCATION,0.00,0.00,0.00,0.00,0.00,0.00,2462.00,0.40,-2462.00,-0.40
LICENSES & PERMITS,320.00,0.10,483.00,0.10,-163.00,0.00,483.00,0.10,-163.00,0.00
MISCELLANEOUS,1878.00,0.40,750.00,0.10,1128.00,0.20,691.00,0.10,1188.00,0.20
MUSIC & ENTERTAINMENT,5000.00,0.90,3500.00,0.70,1500.00,0.30,15407.00,2.60,-10407.00,-1.70
OPERATING SUPPLIES,2246.00,0.40,990.00,0.20,1256.00,0.20,1003.00,0.20,1242.00,0.30
PAPER/PLASTICS SUPPLIES,6424.00,1.20,5131.00,1.00,1293.00,0.20,5656.00,1.00,768.00,0.30
T&E - OTHER,0.00,0.00,0.00,0.00,0.00,0.00,777.00,0.10,-777.00,-0.10
UNIFORM CLEANING,0.00,0.00,0.00,0.00,0.00,0.00,179.00,0.00,-179.00,0.00
TOTAL FOOD & BEVERAGE ADMIN OTHER EXPENSES,38242.00,7.20,34001.00,6.70,4241.00,0.50,43647.00,7.30,-5406.00,-0.20
BREAKFAST,12935.00,29.10,13257.00,18.50,-322.00,10.60,11398.00,18.20,1536.00,10.90
LUNCH,7093.00,16.00,14193.00,19.80,-7101.00,-3.90,11113.00,17.70,-4021.00,-1.80
DINNER,4541.00,10.20,20610.00,28.80,-16069.00,-18.60,10381.00,16.60,-5840.00,-6.30
TOTAL License to Chill  FOOD,24568.00,55.30,48060.00,67.10,-23492.00,-11.90,32892.00,52.50,-8325.00,2.80
LIQUOR,14322.00,32.20,16929.00,23.70,-2607.00,8.60,20937.00,33.40,-6616.00,-1.20
BEER,3678.00,8.30,4467.00,6.20,-789.00,2.00,6292.00,10.00,-2614.00,-1.80
WINE,1969.00,4.40,2116.00,3.00,-147.00,1.50,2717.00,4.30,-748.00,0.10
TOTAL License to Chill  BEVERAGE,19969.00,44.90,23513.00,32.90,-3544.00,12.10,29946.00,47.80,-9978.00,-2.90
SERVICE CHARGES,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,-9.00,0.00
ALLOWANCES,-89.00,-0.20,0.00,0.00,-89.00,-0.20,-179.00,-0.30,90.00,0.10
TOTAL License to Chill OTHER,-89.00,-0.20,0.00,0.00,-89.00,-0.20,-170.00,-0.30,80.00,0.10
TOTAL License to Chill  REVENUE,44447.00,100.00,71573.00,100.00,-27125.00,0.00,62669.00,100.00,-18222.00,0.00
MANAGER,3500.00,7.90,3942.00,5.50,-441.00,2.40,4473.00,7.10,-972.00,0.70
ASSISTANT MANAGER,0.00,0.00,2948.00,4.10,-2948.00,-4.10,2769.00,4.40,-2769.00,-4.40
TOTAL VENUE 1 SERVICE MANAGEMENT,3500.00,7.90,6889.00,9.60,-3389.00,-1.80,7242.00,11.60,-3742.00,-3.70
TOTAL VENUE 1 MANAGEMENT,3500.00,7.90,6889.00,9.60,-3389.00,-1.80,7242.00,11.60,-3742.00,-3.70
SOUS CHEF,0.00,0.00,3604.00,5.00,-3604.00,-5.00,0.00,0.00,0.00,0.00
COOKS,3597.00,8.10,5959.00,8.30,-2363.00,-0.20,7370.00,11.80,-3773.00,-3.70
STEWARDS,1449.00,3.30,6274.00,8.80,-4824.00,-5.50,2318.00,3.70,-869.00,-0.40
KITCHEN SUPERVISOR,0.00,0.00,3027.00,4.20,-3027.00,-4.20,4223.00,6.70,-4223.00,-6.70
TOTAL VENUE 1 KITCHEN NON-MANAGEMENT,5046.00,11.40,18863.00,26.40,-13817.00,-15.00,13911.00,22.20,-8865.00,-10.80
SERVERS,2308.00,5.20,2208.00,3.10,100.00,2.10,2869.00,4.60,-561.00,0.60
BUSSERS,1946.00,4.40,1794.00,2.50,152.00,1.90,672.00,1.10,1274.00,3.30
BARTENDERS,2310.00,5.20,2383.00,3.30,-73.00,1.90,3464.00,5.50,-1154.00,-0.30
BARBACKS,1157.00,2.60,1435.00,2.00,-278.00,0.60,1756.00,2.80,-599.00,-0.20
HOSTS,1440.00,3.20,1965.00,2.70,-525.00,0.50,801.00,1.30,639.00,2.00
SUPERVISOR,614.00,1.40,2774.00,3.90,-2161.00,-2.50,3939.00,6.30,-3326.00,-4.90
TOTAL VENUE 1 VENUE NON-MANAGEMENT,9775.00,22.00,12559.00,17.50,-2784.00,4.40,13501.00,21.50,-3727.00,0.40
TOTAL VENUE 1 NON-MANAGEMENT,14821.00,33.30,31422.00,43.90,-16601.00,-10.60,27413.00,43.70,-12592.00,-10.40
SUBTOTAL: VENUE 1 SALARIES & WAGES,18321.00,41.20,38312.00,53.50,-19991.00,-12.30,34654.00,55.30,-16334.00,-14.10
CONTRACTED/LEASED & OUTSOURCED LABOR,2392.00,5.40,0.00,0.00,2392.00,5.40,0.00,0.00,2392.00,5.40
TOTAL VENUE 1 CONTRACT LABOR,2392.00,5.40,0.00,0.00,2392.00,5.40,0.00,0.00,2392.00,5.40
"TOTAL VENUE 1 SALARIES, WAGES, SC, CONTRACT & BONUS",20713.00,46.60,38312.00,53.50,-17599.00,-6.90,34654.00,55.30,-13942.00,-8.70
PAYROLL TAXES,2157.00,4.90,2873.00,4.00,-716.00,0.80,3217.00,5.10,-1060.00,-0.30
TOTAL VENUE 1 TAXES,2157.00,4.90,2873.00,4.00,-716.00,0.80,3217.00,5.10,-1060.00,-0.30
SUPPLEMENTAL PAY,4136.00,0.00,1866.00,0.00,2270.00,0.00,1616.00,0.00,2520.00,0.00
PTO PAY,1179.00,2.70,1199.00,1.70,-20.00,1.00,767.00,1.20,412.00,1.40
TOTAL VENUE 1 SUPPLEMENTAL PAY,5315.00,12.00,3065.00,4.30,2250.00,7.70,2383.00,3.80,2932.00,8.20
WORKERS COMP,2540.00,5.70,510.00,0.70,2030.00,5.00,1084.00,1.70,1456.00,4.00
HEALTH INSURANCE,-2689.00,-6.00,5084.00,7.10,-7772.00,-13.20,5987.00,9.60,-8676.00,-15.60
401K,26.00,0.10,27.00,0.00,-1.00,0.00,30.00,0.00,-4.00,0.00
EMPLOYEE MEALS,650.00,1.50,714.00,1.00,-63.00,0.50,44.00,0.10,606.00,1.40
EMPLOYEE BENEFITS,30.00,0.10,30.00,0.00,0.00,0.00,23.00,0.00,7.00,0.00
TOTAL VENUE 1 BENEFITS,557.00,1.30,6364.00,8.90,-5807.00,-7.60,7168.00,11.40,-6610.00,-10.20
TOTAL VENUE 1 PAYROLL RELATED,8030.00,18.10,12303.00,17.20,-4272.00,0.90,12769.00,20.40,-4738.00,-2.30
TOTAL VENUE 1 LABOR & RELATED,28743.00,64.70,50614.00,70.70,-21871.00,-6.10,47423.00,75.70,-18680.00,-11.00
DUES & SUBSCRIPTIONS,0.00,0.00,265.00,0.40,-265.00,-0.40,265.00,0.40,-265.00,-0.40
TOTAL License to Chill  EXPENSE,28743.00,64.70,69865.00,97.60,-41122.00,-32.90,47688.00,76.10,-18946.00,-11.40
TOTAL License to Chill  PROFIT,15705.00,35.30,1708.00,2.40,13997.00,32.90,14981.00,23.90,724.00,11.40
BREAKFAST,28.00,0.00,0.00,0.00,28.00,0.00,-69.00,-0.10,97.00,0.10
LUNCH,26720.00,24.30,22124.00,24.30,4596.00,0.00,20502.00,27.30,6219.00,-3.00
DINNER,32608.00,29.70,36097.00,39.70,-3489.00,-10.00,22985.00,30.70,9622.00,-0.90
TOTAL Landshark FOOD,59356.00,54.10,58221.00,64.00,1135.00,-9.90,43418.00,57.90,15938.00,-3.80
LIQUOR,32984.00,30.00,22579.00,24.80,10405.00,5.20,20913.00,27.90,12070.00,2.20
BEER,15913.00,14.50,7732.00,8.50,8181.00,6.00,8714.00,11.60,7200.00,2.90
WINE,1510.00,1.40,619.00,0.70,891.00,0.70,880.00,1.20,630.00,0.20
TOTAL Landshark BEVERAGE,50407.00,45.90,30930.00,34.00,19477.00,11.90,30507.00,40.70,19900.00,5.20
ALLOWANCES,-749.00,-0.70,0.00,0.00,-749.00,-0.70,-52.00,-0.10,-696.00,-0.60
OTHER,757.00,0.70,1819.00,2.00,-1061.00,-1.30,1117.00,1.50,-360.00,-0.80
TOTAL Landshark OTHER,9.00,0.00,1819.00,2.00,-1810.00,-2.00,1065.00,1.40,-1056.00,-1.40
TOTAL Landshark REVENUE,109771.00,100.00,90970.00,100.00,18802.00,0.00,74990.00,100.00,34782.00,0.00
FOOD,17587.00,29.60,16593.00,28.50,994.00,1.10,16433.00,37.80,1154.00,-8.20
LIQUOR,5590.00,16.90,3387.00,15.00,2203.00,1.90,3238.00,15.50,2352.00,1.50
BEER,2430.00,15.30,1392.00,18.00,1039.00,-2.70,1852.00,21.20,579.00,-6.00
WINE,206.00,13.60,133.00,21.50,73.00,-7.90,183.00,20.80,22.00,-7.20
OTHER,7720.00,7.00,909.00,1.00,6811.00,6.00,661.00,0.90,7059.00,6.20
TOTAL VENUE 2 COST OF SALES,33533.00,30.50,22414.00,24.60,11119.00,5.90,22367.00,29.80,11166.00,0.70
TOTAL VENUE 2 GROSS PROFIT,76238.00,69.50,68556.00,75.40,7683.00,-5.90,52623.00,70.20,23616.00,-0.70
MANAGER,2029.00,1.80,4451.00,4.90,-2423.00,-3.00,3124.00,4.20,-1095.00,-2.30
ASSISTANT MANAGER,5267.00,4.80,5896.00,6.50,-629.00,-1.70,646.00,0.90,4620.00,3.90
TOTAL VENUE 2 SERVICE MANAGEMENT,7295.00,6.60,10347.00,11.40,-3052.00,-4.70,3770.00,5.00,3525.00,1.60
TOTAL VENUE 2 MANAGEMENT,7295.00,6.60,10347.00,11.40,-3052.00,-4.70,3770.00,5.00,3525.00,1.60
SOUS CHEF,0.00,0.00,3203.00,3.50,-3203.00,-3.50,554.00,0.70,-554.00,-0.70
COOKS,15606.00,14.20,9024.00,9.90,6581.00,4.30,11699.00,15.60,3907.00,-1.40
STEWARDS,7038.00,6.40,4893.00,5.40,2144.00,1.00,0.00,0.00,7038.00,6.40
KITCHEN SUPERVISOR,2080.00,1.90,5266.00,5.80,-3185.00,-3.90,387.00,0.50,1693.00,1.40
TOTAL VENUE 2 KITCHEN NON-MANAGEMENT,24724.00,22.50,22386.00,24.60,2337.00,-2.10,12640.00,16.90,12084.00,5.70
SERVERS,5121.00,4.70,3548.00,3.90,1574.00,0.80,2898.00,3.90,2223.00,0.80
BUSSERS,3188.00,2.90,3016.00,3.30,172.00,-0.40,3185.00,4.20,2.00,-1.30
RUNNERS,0.00,0.00,3016.00,3.30,-3016.00,-3.30,0.00,0.00,0.00,0.00
BARTENDERS,4157.00,3.80,4278.00,4.70,-121.00,-0.90,2452.00,3.30,1705.00,0.50
BARBACKS,339.00,0.30,2320.00,2.60,-1981.00,-2.20,531.00,0.70,-192.00,-0.40
HOSTS,3724.00,3.40,6222.00,6.80,-2499.00,-3.40,2807.00,3.70,917.00,-0.40
SUPERVISOR,1786.00,1.60,5253.00,5.80,-3467.00,-4.10,2182.00,2.90,-396.00,-1.30
TOTAL VENUE 2 VENUE NON-MANAGEMENT,18315.00,16.70,27652.00,30.40,-9338.00,-13.70,14056.00,18.70,4259.00,-2.10
TOTAL VENUE 2 NON-MANAGEMENT,43038.00,0.00,50039.00,0.00,-7000.00,0.00,26695.00,0.00,16343.00,0.00
SUBTOTAL: VENUE 2 VENUE SALARIES & WAGES,50333.00,45.90,60386.00,66.40,-10052.00,-20.50,30466.00,40.60,19868.00,5.20
CONTRACTED/LEASED & OUTSOURCED LABOR,3388.00,3.10,3319.00,3.60,69.00,-0.60,5765.00,7.70,-2377.00,-4.60
TOTAL VENUE 2 CONTRACT LABOR,3388.00,3.10,3319.00,3.60,69.00,-0.60,5765.00,7.70,-2377.00,-4.60
"TOTAL VENUE 2 SALARIES, WAGES, SC, CONTRACT & BONUS",53721.00,48.90,63704.00,70.00,-9983.00,-21.10,36230.00,48.30,17491.00,0.60
PAYROLL TAXES,5082.00,4.60,4778.00,5.30,305.00,-0.60,3488.00,4.70,1595.00,0.00
TOTAL VENUE 2 TAXES,5082.00,4.60,4778.00,5.30,305.00,-0.60,3488.00,4.70,1595.00,0.00
SUPPLEMENTAL PAY,2950.00,2.70,2400.00,2.60,550.00,0.00,1605.00,2.10,1346.00,0.50
PTO PAY,1957.00,1.80,1223.00,1.30,733.00,0.40,1464.00,2.00,492.00,-0.20
TOTAL VENUE 2 SUPPLEMENTAL PAY,4907.00,4.50,3623.00,4.00,1284.00,0.50,3069.00,4.10,1838.00,0.40
WORKERS COMP,2192.00,2.00,1370.00,1.50,822.00,0.50,1675.00,2.20,517.00,-0.20
HEALTH INSURANCE,-2076.00,-1.90,4695.00,5.20,-6771.00,-7.10,4076.00,5.40,-6152.00,-7.30
401K,166.00,0.20,191.00,0.20,-26.00,-0.10,161.00,0.20,4.00,-0.10
EMPLOYEE MEALS,1299.00,1.20,1323.00,1.50,-24.00,-0.30,487.00,0.60,812.00,0.50
EMPLOYEE BENEFITS,92.00,0.10,30.00,0.00,62.00,0.10,21.00,0.00,71.00,0.10
TOTAL VENUE 2 BENEFITS,1673.00,1.50,7609.00,8.40,-5936.00,-6.80,6420.00,8.60,-4747.00,-7.00
TOTAL VENUE 2 PAYROLL RELATED,11662.00,10.60,16010.00,17.60,-4347.00,-7.00,12976.00,17.30,-1314.00,-6.70
TOTAL VENUE 2 LABOR & RELATED,65383.00,59.60,79714.00,87.60,-14331.00,-28.10,49207.00,65.60,16177.00,-6.10
DUES & SUBSCRIPTIONS,265.00,0.20,0.00,0.00,265.00,0.20,0.00,0.00,265.00,0.20
